"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"health.py:78-81 — Redis ping ok.","6","test_redis_ok_when_available","tests.api","2026-06-10","passed","2026-06-10","TestHealthRouterDirect","test_health","",""
"","0","test_200_pagination_respects_limit[20-0]","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_401_empty_credentials","tests.api","2026-06-10","broken","2026-06-10","TestAuth","test_users_api","",""
"Health endpoint должен быть публичным — для k8s liveness probe.","0","test_health_no_auth_required","tests.api","2026-06-10","broken","2026-06-10","TestHealth","test_users_api","",""
"get_user 404 — users.py:55-56 (not found branch).","0","test_get_user_not_found_path","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_422_limit_over_100","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","1","test_user_response_has_security_constraints","tests.contract","2026-06-10","passed","2026-06-10","TestContractFileExists","test_api_contracts","",""
"Liveness probe — без IO, должен отвечать быстро.","0","test_health_fast_response","tests.api","2026-06-10","broken","2026-06-10","TestLivenessProbe","test_health","",""
"","0","test_422_invalid_email[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@x.com]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_409_duplicate_email","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_health_ready_has_uptime","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"","0","test_200_token_grants_access","tests.api","2026-06-10","broken","2026-06-10","TestAuth","test_users_api","",""
"","0","test_401_unauthenticated","tests.api","2026-06-10","broken","2026-06-10","TestDeleteUser","test_users_api","",""
"
    Намеренно невалидные входные данные — сервер должен отвечать 4xx, не 5xx.
    ","2","test_schemathesis_invalid_inputs_no_500","tests.api","2026-06-10","broken","2026-06-10","","test_schemathesis","",""
"","0","test_422_invalid_password[no_upper]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"POST endpoints должны иметь requestBody в схеме.","1","test_openapi_post_endpoints_have_request_body","tests.api","2026-06-10","passed","2026-06-10","","test_schemathesis","",""
"Expired token → 401. Покрывает _verify_token line 47.","0","test_expired_token_returns_401","tests.api","2026-06-10","broken","2026-06-10","TestAuthDBPath","test_auth_flows","",""
"","0","test_401_bad_token","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"","0","test_login_page_contains_form","tests.api","2026-06-10","broken","2026-06-10","TestFrontendRoutes","test_frontend","",""
"
        Security контракт: ни один response не должен содержать пароль.
        Проверяем рекурсивно весь JSON.
        ","0","test_no_password_leak_in_any_response","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"get_user happy path — users.py:55-57.","0","test_get_user_found_path","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_422_invalid_email[notanemail]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_200_default_pagination","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_401_unknown_user","tests.api","2026-06-10","broken","2026-06-10","TestAuth","test_users_api","",""
"delete_user 404 — users.py:68-69.","0","test_delete_user_not_found_path","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_422_invalid_password[short_password]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"Token подписан другим секретом → 401.","0","test_token_with_wrong_secret_returns_401","tests.api","2026-06-10","broken","2026-06-10","TestAuthDBPath","test_auth_flows","",""
"POST /api/v1/users → должен соответствовать user_response контракту.","0","test_create_user_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"","0","test_422_username_too_short","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_health_ready_has_components","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"","0","test_200_pagination_respects_limit[10-5]","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_200_get_existing","tests.api","2026-06-10","broken","2026-06-10","TestGetUser","test_users_api","",""
"","0","test_all_required_contracts_defined","tests.contract","2026-06-10","passed","2026-06-10","TestContractFileExists","test_api_contracts","",""
"","0","test_health_200","tests.api","2026-06-10","broken","2026-06-10","TestLivenessProbe","test_health","",""
"","0","test_health_returns_ok_status","tests.api","2026-06-10","broken","2026-06-10","TestLivenessProbe","test_health","",""
"main.py:83-84 — /login route.","0","test_login_page_serves_html","tests.api","2026-06-10","broken","2026-06-10","TestFrontendRoutes","test_frontend","",""
"","0","test_422_missing_required_field[username]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"Явно проверяем успешный create — users.py:24 (return UserResponse).","0","test_create_user_success_path","tests.api","2026-06-10","broken","2026-06-10","TestUsersAPICoverage","test_auth_flows","",""
"","0","test_422_invalid_email[two@@domain.com]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_422_invalid_email[@nodomain.com]","tests.api","2026-06-10","broken","2026-06-10","TestCreateUser","test_users_api","",""
"","0","test_200_pagination_respects_limit[5-0]","tests.api","2026-06-10","broken","2026-06-10","TestListUsers","test_users_api","",""
"","0","test_health_ready_has_version","tests.api","2026-06-10","broken","2026-06-10","TestReadinessProbe","test_health","",""
"","0","test_200_valid_login_returns_token","tests.api","2026-06-10","broken","2026-06-10","TestAuth","test_users_api","",""
"","0","test_204_delete_existing","tests.api","2026-06-10","broken","2026-06-10","TestDeleteUser","test_users_api","",""
"422 от FastAPI — проверяем что поле 'detail' присутствует.","0","test_validation_error_contract","tests.contract","2026-06-10","broken","2026-06-10","TestUserServiceContract","test_api_contracts","",""
"Создаём юзера, логинимся через email — покрывает DB путь auth.py:63-78.","0","test_login_as_real_db_user","tests.api","2026-06-10","broken","2026-06-10","TestAuthDBPath","test_auth_flows","",""
